idx,name,op,target,phase,layer,direct_dependency_args,direct_dependency_nodes,direct_offspring_nodes,ancestor_count,descendant_count,strategy_count
76,primals_77,placeholder,primals_77,unknown,,0,0,1,0,4989,3
77,primals_78,placeholder,primals_78,unknown,,0,0,1,0,4969,3
78,primals_79,placeholder,primals_79,unknown,,0,0,1,0,4946,3
79,primals_80,placeholder,primals_80,unknown,,0,0,1,0,4950,3
80,primals_81,placeholder,primals_81,unknown,,0,0,1,0,5026,2
81,primals_82,placeholder,primals_82,unknown,,0,0,1,0,4973,2
82,primals_83,placeholder,primals_83,unknown,,0,0,1,0,4913,3
83,primals_84,placeholder,primals_84,unknown,,0,0,1,0,4913,3
84,primals_85,placeholder,primals_85,unknown,,0,0,1,0,4906,3
85,primals_86,placeholder,primals_86,unknown,,0,0,1,0,4893,3
86,primals_87,placeholder,primals_87,unknown,,0,0,1,0,4873,3
87,primals_88,placeholder,primals_88,unknown,,0,0,1,0,4850,3
88,primals_89,placeholder,primals_89,unknown,,0,0,1,0,4854,3
89,primals_90,placeholder,primals_90,unknown,,0,0,1,0,4930,2
90,primals_91,placeholder,primals_91,unknown,,0,0,1,0,4877,2
91,primals_92,placeholder,primals_92,unknown,,0,0,1,0,4817,3
92,primals_93,placeholder,primals_93,unknown,,0,0,1,0,4817,3
93,primals_94,placeholder,primals_94,unknown,,0,0,1,0,4810,3
94,primals_95,placeholder,primals_95,unknown,,0,0,1,0,4797,3
95,primals_96,placeholder,primals_96,unknown,,0,0,1,0,4777,3
96,primals_97,placeholder,primals_97,unknown,,0,0,1,0,4754,3
97,primals_98,placeholder,primals_98,unknown,,0,0,1,0,4758,3
98,primals_99,placeholder,primals_99,unknown,,0,0,1,0,4834,2
99,primals_100,placeholder,primals_100,unknown,,0,0,1,0,4781,2
100,primals_101,placeholder,primals_101,unknown,,0,0,1,0,4721,3
101,primals_102,placeholder,primals_102,unknown,,0,0,1,0,4721,3
102,primals_103,placeholder,primals_103,unknown,,0,0,1,0,4714,3
103,primals_104,placeholder,primals_104,unknown,,0,0,1,0,4701,3
104,primals_105,placeholder,primals_105,unknown,,0,0,1,0,4681,3
105,primals_106,placeholder,primals_106,unknown,,0,0,1,0,4658,3
106,primals_107,placeholder,primals_107,unknown,,0,0,1,0,4662,3
107,primals_108,placeholder,primals_108,unknown,,0,0,1,0,4738,2
108,primals_109,placeholder,primals_109,unknown,,0,0,1,0,4685,2
109,primals_110,placeholder,primals_110,unknown,,0,0,1,0,4625,3
110,primals_111,placeholder,primals_111,unknown,,0,0,1,0,4625,3
111,primals_112,placeholder,primals_112,unknown,,0,0,1,0,4618,3
112,primals_113,placeholder,primals_113,unknown,,0,0,1,0,4605,3
113,primals_114,placeholder,primals_114,unknown,,0,0,1,0,4585,3
114,primals_115,placeholder,primals_115,unknown,,0,0,1,0,4562,3
115,primals_116,placeholder,primals_116,unknown,,0,0,1,0,4566,3
116,primals_117,placeholder,primals_117,unknown,,0,0,1,0,4642,2
117,primals_118,placeholder,primals_118,unknown,,0,0,1,0,4589,2
118,primals_119,placeholder,primals_119,unknown,,0,0,1,0,4529,3
119,primals_120,placeholder,primals_120,unknown,,0,0,1,0,4529,3
120,primals_121,placeholder,primals_121,unknown,,0,0,1,0,4522,3
121,primals_122,placeholder,primals_122,unknown,,0,0,1,0,4509,3
122,primals_123,placeholder,primals_123,unknown,,0,0,1,0,4489,3
123,primals_124,placeholder,primals_124,unknown,,0,0,1,0,4466,3
124,primals_125,placeholder,primals_125,unknown,,0,0,1,0,4470,3
125,primals_126,placeholder,primals_126,unknown,,0,0,1,0,4546,2
126,primals_127,placeholder,primals_127,unknown,,0,0,1,0,4493,2
127,primals_128,placeholder,primals_128,unknown,,0,0,1,0,4433,3
128,primals_129,placeholder,primals_129,unknown,,0,0,1,0,4433,3
129,primals_130,placeholder,primals_130,unknown,,0,0,1,0,4426,3
130,primals_131,placeholder,primals_131,unknown,,0,0,1,0,4413,3
131,primals_132,placeholder,primals_132,unknown,,0,0,1,0,4393,3
132,primals_133,placeholder,primals_133,unknown,,0,0,1,0,4370,3
133,primals_134,placeholder,primals_134,unknown,,0,0,1,0,4374,3
134,primals_135,placeholder,primals_135,unknown,,0,0,1,0,4450,2
135,primals_136,placeholder,primals_136,unknown,,0,0,1,0,4397,2
136,primals_137,placeholder,primals_137,unknown,,0,0,1,0,4337,3
137,primals_138,placeholder,primals_138,unknown,,0,0,1,0,4337,3
138,primals_139,placeholder,primals_139,unknown,,0,0,1,0,4330,3
139,primals_140,placeholder,primals_140,unknown,,0,0,1,0,4317,3
140,primals_141,placeholder,primals_141,unknown,,0,0,1,0,4297,3
141,primals_142,placeholder,primals_142,unknown,,0,0,1,0,4274,3
142,primals_143,placeholder,primals_143,unknown,,0,0,1,0,4278,3
143,primals_144,placeholder,primals_144,unknown,,0,0,1,0,4354,2
144,primals_145,placeholder,primals_145,unknown,,0,0,1,0,4301,2
145,primals_146,placeholder,primals_146,unknown,,0,0,1,0,4241,3
146,primals_147,placeholder,primals_147,unknown,,0,0,1,0,4241,3
147,primals_148,placeholder,primals_148,unknown,,0,0,1,0,4234,3
148,primals_149,placeholder,primals_149,unknown,,0,0,1,0,4221,3
149,primals_150,placeholder,primals_150,unknown,,0,0,1,0,4201,3
150,primals_151,placeholder,primals_151,unknown,,0,0,1,0,4178,3
151,primals_152,placeholder,primals_152,unknown,,0,0,1,0,4182,3
152,primals_153,placeholder,primals_153,unknown,,0,0,1,0,4258,2
153,primals_154,placeholder,primals_154,unknown,,0,0,1,0,4205,2
154,primals_155,placeholder,primals_155,unknown,,0,0,1,0,4145,3
155,primals_156,placeholder,primals_156,unknown,,0,0,1,0,4145,3
156,primals_157,placeholder,primals_157,unknown,,0,0,1,0,4138,3
157,primals_158,placeholder,primals_158,unknown,,0,0,1,0,4125,3
158,primals_159,placeholder,primals_159,unknown,,0,0,1,0,4105,3
159,primals_160,placeholder,primals_160,unknown,,0,0,1,0,4082,3
160,primals_161,placeholder,primals_161,unknown,,0,0,1,0,4086,3
161,primals_162,placeholder,primals_162,unknown,,0,0,1,0,4162,2
162,primals_163,placeholder,primals_163,unknown,,0,0,1,0,4109,2
163,primals_164,placeholder,primals_164,unknown,,0,0,1,0,4049,3
164,primals_165,placeholder,primals_165,unknown,,0,0,1,0,4049,3
165,primals_166,placeholder,primals_166,unknown,,0,0,1,0,4042,3
166,primals_167,placeholder,primals_167,unknown,,0,0,1,0,4029,3
167,primals_168,placeholder,primals_168,unknown,,0,0,1,0,4009,3
168,primals_169,placeholder,primals_169,unknown,,0,0,1,0,3986,3
169,primals_170,placeholder,primals_170,unknown,,0,0,1,0,3990,3
170,primals_171,placeholder,primals_171,unknown,,0,0,1,0,4066,2
171,primals_172,placeholder,primals_172,unknown,,0,0,1,0,4013,2
172,primals_173,placeholder,primals_173,unknown,,0,0,1,0,3953,3
173,primals_174,placeholder,primals_174,unknown,,0,0,1,0,3953,3
174,primals_175,placeholder,primals_175,unknown,,0,0,1,0,3946,3
175,primals_176,placeholder,primals_176,unknown,,0,0,1,0,3933,3
176,primals_177,placeholder,primals_177,unknown,,0,0,1,0,3913,3
177,primals_178,placeholder,primals_178,unknown,,0,0,1,0,3890,3
178,primals_179,placeholder,primals_179,unknown,,0,0,1,0,3894,3
179,primals_180,placeholder,primals_180,unknown,,0,0,1,0,3970,2
180,primals_181,placeholder,primals_181,unknown,,0,0,1,0,3917,2
181,primals_182,placeholder,primals_182,unknown,,0,0,1,0,3857,3
182,primals_183,placeholder,primals_183,unknown,,0,0,1,0,3857,3
183,primals_184,placeholder,primals_184,unknown,,0,0,1,0,3850,3
184,primals_185,placeholder,primals_185,unknown,,0,0,1,0,3837,3
185,primals_186,placeholder,primals_186,unknown,,0,0,1,0,3817,3
186,primals_187,placeholder,primals_187,unknown,,0,0,1,0,3794,3
187,primals_188,placeholder,primals_188,unknown,,0,0,1,0,3798,3
188,primals_189,placeholder,primals_189,unknown,,0,0,1,0,3874,2
189,primals_190,placeholder,primals_190,unknown,,0,0,1,0,3821,2
190,primals_191,placeholder,primals_191,unknown,,0,0,1,0,3761,3
191,primals_192,placeholder,primals_192,unknown,,0,0,1,0,3761,3
192,primals_193,placeholder,primals_193,unknown,,0,0,1,0,3754,3
193,primals_194,placeholder,primals_194,unknown,,0,0,1,0,3741,3
194,primals_195,placeholder,primals_195,unknown,,0,0,1,0,3721,3
195,primals_196,placeholder,primals_196,unknown,,0,0,1,0,3698,3
196,primals_197,placeholder,primals_197,unknown,,0,0,1,0,3702,3
197,primals_198,placeholder,primals_198,unknown,,0,0,1,0,3778,2
198,primals_199,placeholder,primals_199,unknown,,0,0,1,0,3725,2
199,primals_200,placeholder,primals_200,unknown,,0,0,1,0,3665,3
200,primals_201,placeholder,primals_201,unknown,,0,0,1,0,3665,3
201,primals_202,placeholder,primals_202,unknown,,0,0,1,0,3658,3
202,primals_203,placeholder,primals_203,unknown,,0,0,1,0,3645,3
203,primals_204,placeholder,primals_204,unknown,,0,0,1,0,3625,3
204,primals_205,placeholder,primals_205,unknown,,0,0,1,0,3602,3
205,primals_206,placeholder,primals_206,unknown,,0,0,1,0,3606,3
206,primals_207,placeholder,primals_207,unknown,,0,0,1,0,3682,2
207,primals_208,placeholder,primals_208,unknown,,0,0,1,0,3629,2
208,primals_209,placeholder,primals_209,unknown,,0,0,1,0,3569,3
209,primals_210,placeholder,primals_210,unknown,,0,0,1,0,3569,3
210,primals_211,placeholder,primals_211,unknown,,0,0,1,0,3562,3
211,primals_212,placeholder,primals_212,unknown,,0,0,1,0,3549,3
212,primals_213,placeholder,primals_213,unknown,,0,0,1,0,3529,3
213,primals_214,placeholder,primals_214,unknown,,0,0,1,0,3506,3
214,primals_215,placeholder,primals_215,unknown,,0,0,1,0,3510,3
215,primals_216,placeholder,primals_216,unknown,,0,0,1,0,3586,2
216,primals_217,placeholder,primals_217,unknown,,0,0,1,0,3533,2
217,primals_218,placeholder,primals_218,unknown,,0,0,1,0,3473,3
218,primals_219,placeholder,primals_219,unknown,,0,0,1,0,3473,3
219,primals_220,placeholder,primals_220,unknown,,0,0,1,0,3466,3
220,primals_221,placeholder,primals_221,unknown,,0,0,1,0,3453,3
221,primals_222,placeholder,primals_222,unknown,,0,0,1,0,3433,3
222,primals_223,placeholder,primals_223,unknown,,0,0,1,0,3410,3
223,primals_224,placeholder,primals_224,unknown,,0,0,1,0,3414,3
224,primals_225,placeholder,primals_225,unknown,,0,0,1,0,3490,2
225,primals_226,placeholder,primals_226,unknown,,0,0,1,0,3437,2
226,primals_227,placeholder,primals_227,unknown,,0,0,1,0,3377,3
227,primals_228,placeholder,primals_228,unknown,,0,0,1,0,3377,3
228,primals_229,placeholder,primals_229,unknown,,0,0,1,0,3370,3
229,primals_230,placeholder,primals_230,unknown,,0,0,1,0,3357,3
230,primals_231,placeholder,primals_231,unknown,,0,0,1,0,3337,3
231,primals_232,placeholder,primals_232,unknown,,0,0,1,0,3314,3
232,primals_233,placeholder,primals_233,unknown,,0,0,1,0,3318,3
233,primals_234,placeholder,primals_234,unknown,,0,0,1,0,3394,2
234,primals_235,placeholder,primals_235,unknown,,0,0,1,0,3341,2
235,primals_236,placeholder,primals_236,unknown,,0,0,1,0,3281,3
236,primals_237,placeholder,primals_237,unknown,,0,0,1,0,3281,3
237,primals_238,placeholder,primals_238,unknown,,0,0,1,0,3274,3
238,primals_239,placeholder,primals_239,unknown,,0,0,1,0,3261,3
239,primals_240,placeholder,primals_240,unknown,,0,0,1,0,3241,3
240,primals_241,placeholder,primals_241,unknown,,0,0,1,0,3218,3
241,primals_242,placeholder,primals_242,unknown,,0,0,1,0,3222,3
242,primals_243,placeholder,primals_243,unknown,,0,0,1,0,3298,2
243,primals_244,placeholder,primals_244,unknown,,0,0,1,0,3245,2
244,primals_245,placeholder,primals_245,unknown,,0,0,1,0,3185,3
245,primals_246,placeholder,primals_246,unknown,,0,0,1,0,3185,3
246,primals_247,placeholder,primals_247,unknown,,0,0,1,0,3178,3
247,primals_248,placeholder,primals_248,unknown,,0,0,1,0,3165,3
248,primals_249,placeholder,primals_249,unknown,,0,0,1,0,3145,3
249,primals_250,placeholder,primals_250,unknown,,0,0,1,0,3122,3
250,primals_251,placeholder,primals_251,unknown,,0,0,1,0,3126,3
251,primals_252,placeholder,primals_252,unknown,,0,0,1,0,3202,2
252,primals_253,placeholder,primals_253,unknown,,0,0,1,0,3149,2
253,primals_254,placeholder,primals_254,unknown,,0,0,1,0,3103,2
254,primals_255,placeholder,primals_255,unknown,,0,0,1,0,5943,3
255,primals_256,placeholder,primals_256,unknown,,0,0,1,0,5806,3
256,tangents_1,placeholder,tangents_1,backward,,0,0,1,0,3104,4
257,alias_default,call_function,alias.default,unknown,,1,1,2,1,5815,3
258,dtype_cast,call_function,dtype_cast.default,forward,,1,1,1,2,5805,3
259,alias_default_2,call_function,alias.default,unknown,,1,1,2,1,5805,3
260,embedding,call_function,embedding.default,forward,,2,2,1,5,5804,5
261,dtype_cast_1,call_function,dtype_cast.default,forward,0,1,1,1,1,5793,2
262,alias_default_4,call_function,alias.default,forward,,1,1,3,6,5803,4
263,convert_element_type,call_function,convert_element_type.default,forward,0,1,1,1,7,5801,4
264,alias_default_6,call_function,alias.default,forward,0,1,1,2,8,5800,4
265,pow_1,call_function,pow.Tensor_Scalar,forward,0,1,1,1,9,5799,4
266,mean,call_function,mean.dim,forward,0,1,1,1,10,5798,4
267,add,call_function,add.Scalar,forward,0,1,1,1,11,5797,3
268,rsqrt,call_function,rsqrt.default,forward,0,1,1,1,12,5796,3
269,alias_default_7,call_function,alias.default,forward,0,1,1,3,13,5795,3
270,mul,call_function,mul.Tensor,forward,0,2,2,1,14,5791,8
271,alias_default_5,call_function,alias.default,forward,0,1,1,2,2,5792,2
272,mul_1,call_function,mul.Tensor,forward,0,2,2,1,18,5790,8
273,convert_element_type_1,call_function,convert_element_type.default,forward,0,1,1,1,19,5789,6
274,dtype_cast_2,call_function,dtype_cast.default,forward,0,1,1,1,1,5776,3
275,permute,call_function,permute.default,forward,0,1,1,1,2,5775,3
276,alias_default_8,call_function,alias.default,forward,0,1,1,6,20,5788,4
277,alias_default_9,call_function,alias.default,forward,0,1,1,2,3,5774,3
278,einsum_default,call_function,einsum.default,forward,0,2,2,1,25,5772,5
279,dtype_cast_3,call_function,dtype_cast.default,forward,0,1,1,1,1,5776,3
280,permute_1,call_function,permute.default,forward,0,1,1,1,2,5775,3
281,alias_default_10,call_function,alias.default,forward,0,1,1,2,3,5774,3
282,einsum_default_1,call_function,einsum.default,forward,0,2,2,1,25,5772,5
283,dtype_cast_4,call_function,dtype_cast.default,forward,0,1,1,1,1,5769,3
284,permute_2,call_function,permute.default,forward,0,1,1,1,2,5768,3
285,alias_default_11,call_function,alias.default,forward,0,1,1,2,3,5767,3
286,einsum_default_2,call_function,einsum.default,forward,0,2,2,1,25,5765,5
287,view_6,call_function,view.default,forward,0,1,1,1,26,5771,4
288,view_7,call_function,view.default,forward,0,1,1,1,26,5771,4
289,view_8,call_function,view.default,forward,0,1,1,1,26,5764,4
290,convert_element_type_8,call_function,convert_element_type.default,forward,0,1,1,1,27,5770,4
291,view_9,call_function,view.default,forward,0,1,1,1,28,5769,4
292,view_as_complex,call_function,view_as_complex.default,forward,0,1,1,1,29,5768,6
293,convert_element_type_9,call_function,convert_element_type.default,forward,0,1,1,1,27,5770,4
294,view_10,call_function,view.default,forward,0,1,1,1,28,5769,4
295,view_as_complex_1,call_function,view_as_complex.default,forward,0,1,1,1,29,5768,6
296,alias_default_1,call_function,alias.default,unknown,,1,1,28,1,5942,3
297,view_11,call_function,view.default,forward,0,1,1,1,2,5779,3
298,alias_default_12,call_function,alias.default,forward,0,1,1,4,3,5778,3
299,mul_2,call_function,mul.Tensor,forward,0,2,2,1,34,5767,8
300,view_as_real,call_function,view_as_real.default,forward,0,1,1,1,35,5766,6
301,view_12,call_function,view.default,forward,0,1,1,1,36,5765,6
302,mul_3,call_function,mul.Tensor,forward,0,2,2,1,34,5767,8
303,view_as_real_1,call_function,view_as_real.default,forward,0,1,1,1,35,5766,6
304,view_13,call_function,view.default,forward,0,1,1,1,36,5765,6
305,convert_element_type_10,call_function,convert_element_type.default,forward,0,1,1,1,37,5764,6
306,convert_element_type_11,call_function,convert_element_type.default,forward,0,1,1,1,37,5764,6
307,permute_3,call_function,permute.default,forward,0,1,1,1,38,5763,6
308,permute_4,call_function,permute.default,forward,0,1,1,1,38,5763,6
309,permute_5,call_function,permute.default,forward,0,1,1,1,27,5763,4
310,alias_default_13,call_function,alias.default,forward,0,1,1,2,39,5762,4
311,alias_default_14,call_function,alias.default,forward,0,1,1,2,39,5762,4
312,alias_default_15,call_function,alias.default,forward,0,1,1,2,28,5762,4
313,_scaled_dot_product_flash_attention,call_function,_scaled_dot_product_flash_attention.default,forward,0,3,3,4,63,5761,2
314,getitem,call_function,getitem,forward,0,1,1,1,64,5757,2
315,getitem_1,call_function,getitem,forward,0,1,1,1,64,64,2
316,getitem_6,call_function,getitem,forward,0,1,1,1,64,64,1
317,getitem_7,call_function,getitem,forward,0,1,1,1,64,64,1
318,alias_default_16,call_function,alias.default,forward,0,1,1,2,65,5756,4
319,permute_6,call_function,permute.default,forward,0,1,1,1,66,5755,4
320,view_14,call_function,view.default,forward,0,1,1,1,67,5754,3
321,dtype_cast_5,call_function,dtype_cast.default,forward,0,1,1,1,1,5756,3
322,permute_7,call_function,permute.default,forward,0,1,1,1,2,5755,3
323,alias_default_17,call_function,alias.default,forward,0,1,1,2,68,5753,4
324,alias_default_18,call_function,alias.default,forward,0,1,1,2,3,5754,3
325,einsum_default_3,call_function,einsum.default,forward,0,2,2,1,73,5752,5
326,add_1,call_function,add.Tensor,forward,0,2,2,1,74,5751,10
327,dtype_cast_6,call_function,dtype_cast.default,forward,0,1,1,1,1,5740,2
328,alias_default_19,call_function,alias.default,forward,0,1,1,3,75,5750,4
329,convert_element_type_14,call_function,convert_element_type.default,forward,0,1,1,1,76,5748,4
330,alias_default_21,call_function,alias.default,forward,0,1,1,2,77,5747,4
331,pow_2,call_function,pow.Tensor_Scalar,forward,0,1,1,1,78,5746,4
332,mean_1,call_function,mean.dim,forward,0,1,1,1,79,5745,4
333,add_2,call_function,add.Scalar,forward,0,1,1,1,80,5744,3
334,rsqrt_1,call_function,rsqrt.default,forward,0,1,1,1,81,5743,3
335,alias_default_22,call_function,alias.default,forward,0,1,1,3,82,5742,3
336,mul_4,call_function,mul.Tensor,forward,0,2,2,1,83,5738,8
337,alias_default_20,call_function,alias.default,forward,0,1,1,2,2,5739,2
338,mul_5,call_function,mul.Tensor,forward,0,2,2,1,87,5737,8
339,convert_element_type_15,call_function,convert_element_type.default,forward,0,1,1,1,88,5736,6
340,dtype_cast_7,call_function,dtype_cast.default,forward,0,1,1,1,1,5736,3
341,permute_8,call_function,permute.default,forward,0,1,1,1,2,5735,3
342,alias_default_23,call_function,alias.default,forward,0,1,1,4,89,5735,4
343,alias_default_24,call_function,alias.default,forward,0,1,1,2,3,5734,3
344,einsum_default_4,call_function,einsum.default,forward,0,2,2,1,94,5732,5
345,alias_default_25,call_function,alias.default,forward,0,1,1,2,95,5731,4
346,convert_element_type_18,call_function,convert_element_type.default,forward,0,1,1,1,96,5719,4
347,alias_default_26,call_function,alias.default,forward,0,1,1,2,97,5718,4
348,neg,call_function,neg.default,forward,0,1,1,1,98,5717,8
349,exp,call_function,exp.default,forward,0,1,1,1,99,5716,6
350,add_3,call_function,add.Tensor,forward,0,1,1,1,100,5715,4
351,div,call_function,div.Tensor,forward,0,2,2,1,101,5714,6
352,convert_element_type_19,call_function,convert_element_type.default,forward,0,1,1,1,102,5713,6
353,dtype_cast_8,call_function,dtype_cast.default,forward,0,1,1,1,1,5717,3
354,permute_9,call_function,permute.default,forward,0,1,1,1,2,5716,3
355,alias_default_28,call_function,alias.default,forward,0,1,1,2,3,5715,3
356,einsum_default_5,call_function,einsum.default,forward,0,2,2,1,94,5713,5
357,alias_default_27,call_function,alias.default,forward,0,1,1,2,103,5712,4
358,alias_default_29,call_function,alias.default,forward,0,1,1,2,95,5712,4
359,mul_6,call_function,mul.Tensor,forward,0,2,2,1,110,5711,8
360,dtype_cast_9,call_function,dtype_cast.default,forward,0,1,1,1,1,5713,3
361,permute_10,call_function,permute.default,forward,0,1,1,1,2,5712,3
362,alias_default_30,call_function,alias.default,forward,0,1,1,2,111,5710,4
363,alias_default_31,call_function,alias.default,forward,0,1,1,2,3,5711,3
364,einsum_default_6,call_function,einsum.default,forward,0,2,2,1,116,5709,5
365,add_4,call_function,add.Tensor,forward,0,2,2,1,117,5708,10
366,dtype_cast_10,call_function,dtype_cast.default,forward,1,1,1,1,1,5697,2
367,alias_default_32,call_function,alias.default,forward,0,1,1,3,118,5707,4
368,convert_element_type_24,call_function,convert_element_type.default,forward,1,1,1,1,119,5705,4
369,alias_default_34,call_function,alias.default,forward,1,1,1,2,120,5704,4
370,pow_3,call_function,pow.Tensor_Scalar,forward,1,1,1,1,121,5703,4
371,mean_2,call_function,mean.dim,forward,1,1,1,1,122,5702,4
372,add_5,call_function,add.Scalar,forward,1,1,1,1,123,5701,3
373,rsqrt_2,call_function,rsqrt.default,forward,1,1,1,1,124,5700,3
374,alias_default_35,call_function,alias.default,forward,1,1,1,3,125,5699,3
375,mul_7,call_function,mul.Tensor,forward,1,2,2,1,126,5695,8
376,alias_default_33,call_function,alias.default,forward,1,1,1,2,2,5696,2
377,mul_8,call_function,mul.Tensor,forward,1,2,2,1,130,5694,8
378,convert_element_type_25,call_function,convert_element_type.default,forward,1,1,1,1,131,5693,6
379,dtype_cast_11,call_function,dtype_cast.default,forward,1,1,1,1,1,5680,3
380,permute_11,call_function,permute.default,forward,1,1,1,1,2,5679,3
381,alias_default_36,call_function,alias.default,forward,1,1,1,6,132,5692,4
382,alias_default_37,call_function,alias.default,forward,1,1,1,2,3,5678,3
383,einsum_default_7,call_function,einsum.default,forward,1,2,2,1,137,5676,5
384,dtype_cast_12,call_function,dtype_cast.default,forward,1,1,1,1,1,5680,3
385,permute_12,call_function,permute.default,forward,1,1,1,1,2,5679,3
386,alias_default_38,call_function,alias.default,forward,1,1,1,2,3,5678,3
387,einsum_default_8,call_function,einsum.default,forward,1,2,2,1,137,5676,5
